META,TS,2026-09-09 13:04
META,TS_EPOCH,1788930243
META,GC_SPOT,4424.80
META,GC_PREV_CLOSE,4439.00
RES,4476.15,56197,Core Resistance
RES,4442.55,54464,Strong Resistance
RES,4513.95,35860,Secondary Res
RES,4652.55,31443,General Res
RES,4629.45,29468,Intraday Res
SUP,4387.95,21091,Core Support
SUP,4356.45,7658,Strong Support
